"기준일","요일","시군구","연령대","성별","통화건수"
20170202,"목","중랑구","30대","여",60
20170202,"목","중랑구","40대","남",41
20170202,"목","중랑구","40대","여",78
20170202,"목","중랑구","50대","남",32
20170202,"목","중랑구","50대","여",33
20170202,"목","중랑구","60대이상","남",15
20170202,"목","중랑구","60대이상","여",13
20170203,"금","강남구","10대","남",70
20170203,"금","강남구","10대","여",49
20170203,"금","강남구","20대","남",161
20170203,"금","강남구","20대","여",102
20170203,"금","강남구","30대","남",211
20170203,"금","강남구","30대","여",155
20170203,"금","강남구","40대","남",147
20170203,"금","강남구","40대","여",290
20170203,"금","강남구","50대","남",78
20170203,"금","강남구","50대","여",91
20170203,"금","강남구","60대이상","남",46
20170203,"금","강남구","60대이상","여",33
20170203,"금","강동구","10대","남",58
20170203,"금","강동구","10대","여",33
20170203,"금","강동구","20대","남",77
20170203,"금","강동구","20대","여",62
20170203,"금","강동구","30대","남",100
20170203,"금","강동구","30대","여",135
20170203,"금","강동구","40대","남",115
20170203,"금","강동구","40대","여",185
20170203,"금","강동구","50대","남",42
20170203,"금","강동구","50대","여",58
20170203,"금","강동구","60대이상","남",38
20170203,"금","강동구","60대이상","여",49
20170203,"금","강북구","10대","남",47
20170203,"금","강북구","10대","여",33
20170203,"금","강북구","20대","남",60
20170203,"금","강북구","20대","여",49
20170203,"금","강북구","30대","남",89
20170203,"금","강북구","30대","여",119
20170203,"금","강북구","40대","남",76
20170203,"금","강북구","40대","여",173
20170203,"금","강북구","50대","남",23
20170203,"금","강북구","50대","여",40
20170203,"금","강북구","60대이상","남",16
20170203,"금","강북구","60대이상","여",14
20170203,"금","강서구","10대","남",95
20170203,"금","강서구","10대","여",89
20170203,"금","강서구","20대","남",169
20170203,"금","강서구","20대","여",144
20170203,"금","강서구","30대","남",229
20170203,"금","강서구","30대","여",290
20170203,"금","강서구","40대","남",167
20170203,"금","강서구","40대","여",356
20170203,"금","강서구","50대","남",86
20170203,"금","강서구","50대","여",95
20170203,"금","강서구","60대이상","남",39
20170203,"금","강서구","60대이상","여",52
20170203,"금","관악구","10대","남",63
20170203,"금","관악구","10대","여",20
20170203,"금","관악구","20대","남",213
20170203,"금","관악구","20대","여",132
20170203,"금","관악구","30대","남",189
20170203,"금","관악구","30대","여",191
20170203,"금","관악구","40대","남",128
20170203,"금","관악구","40대","여",176
20170203,"금","관악구","50대","남",31
